threshold,dice,iou,foreground_ratio
0.20,0.79440305,0.65985878,0.31064475
0.25,0.80531011,0.67496277,0.29930925
0.30,0.81358466,0.68663590,0.29002850
0.35,0.82014067,0.69601857,0.28198838
0.40,0.82538512,0.70360812,0.27483875
0.45,0.82976075,0.70999975,0.26811650
0.50,0.83339358,0.71533727,0.26154462
0.55,0.83612914,0.71938104,0.25494525
0.60,0.83827826,0.72258343,0.24802413
0.65,0.83951188,0.72443856,0.24050300
0.70,0.83948253,0.72443225,0.23204762
0.75,0.83761750,0.72172538,0.22246488
0.80,0.83259806,0.71441732,0.21113425
